"filename", "language", "SCSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app-routing.module.ts", "TypeScript", 0, 0, 25, 0, 3, 3, 31
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app.component.html", "HTML", 0, 24, 0, 0, 0, 2, 26
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app.component.spec.ts", "TypeScript", 0, 0, 36, 0, 1, 11, 48
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app.component.ts", "TypeScript", 0, 0, 42, 0, 28, 10, 80
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\app.module.ts", "TypeScript", 0, 0, 34, 0, 8, 7, 49
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth-routing.module.ts", "TypeScript", 0, 0, 22, 0, 0, 4, 26
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.guard.spec.ts", "TypeScript", 0, 0, 12, 0, 0, 4, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.guard.ts", "TypeScript", 0, 0, 26, 0, 16, 3, 45
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.module.ts", "TypeScript", 0, 0, 16, 0, 0, 5, 21
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.page.html", "HTML", 0, 7, 0, 0, 0, 3, 10
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.page.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 6, 25
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.page.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\auth.service.ts", "TypeScript", 0, 0, 97, 0, 9, 17, 123
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\login\login-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 4, 18
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\login\login.module.ts", "TypeScript", 0, 0, 17, 0, 0, 5, 22
"d:\mfhco\Documents\Uni\Moment\Moment\src\app\auth\login\login.page.html", "HTML", 0, 47, 0, 0, 0, 2, 49
